Time,Datetime,Frequency,Magnitude
138,2020-05-05 06:19:22,14.75,0.753
139,2020-05-05 06:19:24,10.5,0.588
140,2020-05-05 06:19:26,13.8,0.662
141,2020-05-05 06:20:36,7.5,0.856
142,2020-05-05 06:20:38,18.727,0.857
143,2020-05-05 06:20:40,10.5,0.738
144,2020-05-05 06:20:42,14.5,0.898
145,2020-05-05 06:20:52,5.333,0.694
146,2020-05-05 06:20:54,16.667,0.833
147,2020-05-05 06:20:56,10.5,0.701
148,2020-05-05 06:20:58,8.4,0.672
149,2020-05-05 06:21:22,13.9,0.945
150,2020-05-05 06:21:24,11.0,0.96
151,2020-05-05 06:21:26,17.0,0.848
152,2020-05-05 06:21:34,16.6,0.992
153,2020-05-05 06:21:36,12.0,1.061
154,2020-05-05 06:21:38,10.5,0.565
155,2020-05-05 06:21:40,11.75,0.707
156,2020-05-05 06:22:56,1.5,0.942
157,2020-05-05 06:23:02,17.071,0.864
158,2020-05-05 06:23:04,10.5,0.682
159,2020-05-05 06:23:06,14.333,0.873
160,2020-05-05 06:23:08,7.0,0.638
161,2020-05-05 06:23:26,15.9,0.799
162,2020-05-05 06:23:28,10.0,0.759
163,2020-05-05 06:23:30,11.75,0.767
164,2020-05-05 06:23:54,13.917,0.826
165,2020-05-05 06:23:56,11.0,1.232
166,2020-05-05 06:23:58,13.429,0.812
167,2020-05-05 06:24:08,14.833,0.904
168,2020-05-05 06:24:10,10.0,0.779
169,2020-05-05 06:24:12,9.25,0.815
170,2020-05-05 06:25:10,16.769,0.81
171,2020-05-05 06:25:12,11.0,0.826
172,2020-05-05 06:25:16,12.714,0.834
173,2020-05-05 06:25:32,14.875,0.972
174,2020-05-05 06:25:34,10.5,0.894
175,2020-05-05 06:25:36,13.0,0.688
176,2020-05-05 06:27:28,12.667,0.904
177,2020-05-05 06:27:30,13.667,0.787
178,2020-05-05 06:27:32,1.0,0.516
179,2020-05-05 06:27:34,15.4,1.096
180,2020-05-05 06:27:40,18.167,1.049
181,2020-05-05 06:27:42,13.667,0.812
182,2020-05-05 06:27:44,10.0,0.77
183,2020-05-05 06:27:46,10.2,0.792
184,2020-05-05 06:28:50,11.462,0.75
185,2020-05-05 06:28:52,11.0,0.991
186,2020-05-05 06:28:54,14.222,0.77
187,2020-05-05 06:28:56,2.0,0.526
188,2020-05-05 06:29:02,1.0,0.577
189,2020-05-05 06:29:04,14.75,0.803
190,2020-05-05 06:29:06,10.5,0.582
191,2020-05-05 06:29:08,8.0,0.841
192,2020-05-05 06:29:24,1.0,0.514
193,2020-05-05 06:29:26,15.125,0.848
194,2020-05-05 06:29:28,11.0,1.218
195,2020-05-05 06:29:30,10.0,0.709
196,2020-05-05 06:30:24,16.6,1.04
197,2020-05-05 06:30:26,11.5,0.738
198,2020-05-05 06:30:30,12.75,0.877
199,2020-05-05 06:32:50,1.0,0.825
200,2020-05-05 06:32:52,13.571,0.785
201,2020-05-05 06:32:54,13.75,0.757
202,2020-05-05 06:32:56,10.5,0.707
203,2020-05-05 06:32:58,14.429,0.835
204,2020-05-05 06:33:10,7.5,0.798
205,2020-05-05 06:33:12,16.667,1.411
206,2020-05-05 06:33:14,11.0,1.172
207,2020-05-05 06:33:16,13.4,0.89
208,2020-05-05 06:33:24,4.0,0.611
209,2020-05-05 06:34:16,14.111,0.956
210,2020-05-05 06:34:18,10.333,0.729
211,2020-05-05 06:34:20,8.0,0.537
