Time,Datetime,Frequency,Magnitude
0,2020-05-02 12:48:30,10.4,1.352
1,2020-05-02 12:48:32,14.429,0.766
2,2020-05-02 12:48:34,10.75,0.819
3,2020-05-02 12:48:36,6.625,1.532
4,2020-05-02 12:48:38,10.0,0.601
5,2020-05-02 12:48:40,4.5,1.244
6,2020-05-02 12:48:42,11.75,0.926
7,2020-05-02 12:48:44,9.5,0.75
8,2020-05-02 12:48:46,3.5,1.423
9,2020-05-02 12:48:48,3.0,1.224
10,2020-05-02 12:49:06,7.0,1.011
11,2020-05-02 12:49:12,4.733,1.258
12,2020-05-02 12:49:14,2.5,1.869
13,2020-05-02 12:49:16,7.0,0.895
14,2020-05-02 12:49:24,2.0,1.416
15,2020-05-02 12:49:44,7.222,1.098
16,2020-05-02 12:49:46,5.444,1.314
17,2020-05-02 12:50:20,4.6,1.256
18,2020-05-02 12:50:44,3.0,0.979
19,2020-05-02 12:50:54,2.0,0.77
20,2020-05-02 12:50:56,6.143,1.084
21,2020-05-02 12:50:58,10.667,0.996
22,2020-05-02 12:51:36,8.667,1.001
23,2020-05-02 12:51:38,3.75,1.393
24,2020-05-02 12:52:00,2.0,0.739
25,2020-05-02 12:52:02,7.364,0.926
26,2020-05-02 12:52:10,3.0,0.643
27,2020-05-02 12:52:26,2.5,0.975
28,2020-05-02 12:52:30,8.833,1.156
29,2020-05-02 12:52:44,4.9,0.731
30,2020-05-02 12:52:54,2.0,1.016
31,2020-05-02 12:53:04,9.0,0.54
32,2020-05-02 12:53:22,3.5,1.14
33,2020-05-02 12:53:44,3.222,1.385
34,2020-05-02 12:53:46,5.0,0.545
35,2020-05-02 12:53:52,7.7,0.715
36,2020-05-02 12:53:54,11.6,0.733
37,2020-05-02 12:53:56,10.667,0.937
38,2020-05-02 12:53:58,9.0,0.727
39,2020-05-02 12:54:00,7.333,0.697
40,2020-05-02 12:54:02,8.75,0.884
41,2020-05-02 12:54:04,8.5,0.697
42,2020-05-02 12:54:06,9.5,0.851
43,2020-05-02 12:54:08,7.0,0.685
44,2020-05-02 12:54:10,7.625,0.711
45,2020-05-02 12:54:12,8.0,0.821
46,2020-05-02 12:54:14,7.857,0.705
47,2020-05-02 12:54:16,5.0,0.639
48,2020-05-02 12:54:18,9.333,0.648
49,2020-05-02 12:54:20,1.0,0.722
50,2020-05-02 12:55:14,6.5,0.584
51,2020-05-02 12:55:16,8.5,0.765
52,2020-05-02 12:57:12,8.0,0.781
53,2020-05-02 12:57:16,11.0,0.54
54,2020-05-02 12:57:18,1.0,0.535
55,2020-05-02 12:57:28,11.0,0.623
56,2020-05-02 12:57:32,10.0,0.507
57,2020-05-02 12:57:34,1.0,0.673
58,2020-05-02 12:57:36,11.667,0.638
59,2020-05-02 12:57:38,13.4,0.683
60,2020-05-02 12:57:40,1.0,0.704
61,2020-05-02 12:57:42,6.0,0.56
62,2020-05-02 12:57:50,12.0,0.658
63,2020-05-02 12:57:52,13.0,0.729
64,2020-05-02 12:57:56,9.0,0.545
65,2020-05-02 12:58:02,9.2,0.608
66,2020-05-02 12:58:04,10.667,0.551
67,2020-05-02 12:58:06,12.5,0.798
68,2020-05-02 12:58:08,8.0,0.628
69,2020-05-02 12:58:10,12.0,0.606
70,2020-05-02 12:58:12,14.5,0.753
71,2020-05-02 12:58:14,8.333,0.596
72,2020-05-02 12:58:22,12.333,0.674
73,2020-05-02 12:58:24,9.75,0.673
74,2020-05-02 12:58:26,14.0,0.917
75,2020-05-02 12:58:28,16.667,0.784
76,2020-05-02 12:58:30,13.8,0.788
77,2020-05-02 12:58:32,10.5,0.78
78,2020-05-02 12:58:34,5.133,1.334
79,2020-05-02 12:58:36,16.5,1.044
80,2020-05-02 12:58:38,9.667,1.34
81,2020-05-02 12:58:42,10.25,0.945
82,2020-05-02 12:58:44,3.8,0.921
83,2020-05-02 12:59:34,1.8,0.991
84,2020-05-02 12:59:38,1.5,0.844
85,2020-05-02 12:59:44,11.5,0.896
86,2020-05-02 12:59:58,1.5,0.915
87,2020-05-02 13:00:08,15.2,0.891
88,2020-05-02 13:00:10,3.0,0.525
89,2020-05-02 13:00:30,2.5,1.308
90,2020-05-02 13:00:38,10.0,1.494
91,2020-05-02 13:00:40,2.5,0.894
92,2020-05-02 13:00:58,2.0,1.387
93,2020-05-02 13:01:16,4.9,1.21
94,2020-05-02 13:01:32,7.875,1.188
95,2020-05-02 13:01:46,19.6,0.835
96,2020-05-02 13:02:10,9.692,0.824
97,2020-05-02 13:03:32,12.1,0.768
98,2020-05-02 13:03:44,6.0,0.525
99,2020-05-02 13:04:06,6.0,0.504
100,2020-05-02 13:04:22,7.2,0.991
101,2020-05-02 13:04:24,5.25,1.283
102,2020-05-02 13:04:34,7.571,0.607
103,2020-05-02 13:04:40,2.0,0.745
104,2020-05-02 13:05:02,7.182,0.96
105,2020-05-02 13:05:10,5.667,0.726
106,2020-05-02 13:06:20,13.143,0.935
107,2020-05-02 13:06:24,7.4,0.691
108,2020-05-02 13:06:26,10.111,0.68
109,2020-05-02 13:06:28,10.0,0.688
110,2020-05-02 13:06:30,9.667,0.55
111,2020-05-02 13:06:34,9.333,0.6
112,2020-05-02 13:07:28,4.333,0.564
113,2020-05-02 13:07:30,9.667,1.727
114,2020-05-02 13:08:28,17.4,0.98
115,2020-05-02 13:08:50,7.5,0.819
116,2020-05-02 13:08:52,16.75,0.719
117,2020-05-02 13:08:54,11.0,0.88
118,2020-05-02 13:08:56,9.0,0.641
119,2020-05-02 13:08:58,6.667,0.612
120,2020-05-02 13:09:00,10.0,0.816
121,2020-05-02 13:09:04,9.0,0.615
122,2020-05-02 13:09:12,9.5,0.908
123,2020-05-02 13:09:14,10.0,0.551
124,2020-05-02 13:09:18,9.0,0.524
125,2020-05-02 13:09:20,11.643,0.691
126,2020-05-02 13:09:44,8.5,0.884
127,2020-05-02 13:10:42,1.0,0.563
128,2020-05-02 13:11:22,17.4,0.814
129,2020-05-02 13:11:32,11.0,0.569
130,2020-05-02 13:11:50,13.0,0.61
131,2020-05-02 13:12:14,17.4,0.871
132,2020-05-02 13:12:46,2.0,0.913
133,2020-05-02 13:12:48,3.0,0.529
134,2020-05-02 13:14:34,12.6,0.89
135,2020-05-02 13:14:36,12.333,0.691
136,2020-05-02 13:14:38,10.333,0.616
137,2020-05-02 13:15:20,17.818,0.824
138,2020-05-02 13:15:22,10.5,1.102
139,2020-05-02 13:15:24,10.0,0.689
140,2020-05-02 13:15:28,6.444,0.784
141,2020-05-02 13:15:52,11.286,0.791
142,2020-05-02 13:15:54,14.667,1.027
143,2020-05-02 13:15:56,10.333,0.762
144,2020-05-02 13:15:58,8.5,0.609
145,2020-05-02 13:16:00,11.25,0.87
146,2020-05-02 13:16:24,5.0,0.551
147,2020-05-02 13:16:40,3.0,0.535
148,2020-05-02 13:17:38,4.0,0.61
149,2020-05-02 13:17:42,13.0,0.849
150,2020-05-02 13:18:04,8.667,0.58
151,2020-05-02 13:18:32,8.0,0.579
152,2020-05-02 13:18:48,17.143,0.866
153,2020-05-02 13:18:50,2.667,0.763
154,2020-05-02 13:19:56,9.0,0.568
155,2020-05-02 13:20:32,10.667,0.776
156,2020-05-02 13:20:58,15.5,0.701
157,2020-05-02 13:21:00,10.846,0.706
158,2020-05-02 13:22:44,2.0,0.644
159,2020-05-02 13:23:36,10.0,0.609
160,2020-05-02 13:26:50,3.8,0.84
161,2020-05-02 13:26:52,10.5,0.736
162,2020-05-02 13:26:54,9.8,0.674
163,2020-05-02 13:26:58,8.25,0.9
164,2020-05-02 13:27:16,7.625,0.635
165,2020-05-02 13:31:10,17.4,1.097
166,2020-05-02 13:31:28,7.333,0.525
167,2020-05-02 13:32:34,14.846,0.766
168,2020-05-02 13:32:36,18.0,1.013
169,2020-05-02 13:32:40,10.333,0.854
170,2020-05-02 13:33:42,17.4,0.8
171,2020-05-02 13:34:44,11.667,0.553
172,2020-05-02 13:35:22,9.333,0.833
173,2020-05-02 13:35:24,7.5,0.781
174,2020-05-02 13:35:26,8.25,0.882
175,2020-05-02 13:38:22,2.0,1.09
176,2020-05-02 13:40:30,1.5,0.804
177,2020-05-02 13:41:12,19.5,0.857
178,2020-05-02 13:41:14,14.375,0.762
179,2020-05-02 13:41:16,10.4,0.764
180,2020-05-02 13:41:18,9.0,0.939
181,2020-05-02 13:41:24,11.375,0.845
182,2020-05-02 13:41:26,17.556,0.759
183,2020-05-02 13:41:28,11.333,0.739
184,2020-05-02 13:41:30,10.0,0.785
185,2020-05-02 13:41:32,11.0,0.53
186,2020-05-02 13:41:34,6.0,0.563
187,2020-05-02 13:41:36,11.0,1.237
188,2020-05-02 13:41:38,4.333,0.777
189,2020-05-02 13:41:42,11.0,1.21
190,2020-05-02 13:41:44,9.25,0.737
191,2020-05-02 13:43:00,11.5,0.753
192,2020-05-02 13:43:02,15.0,0.75
193,2020-05-02 13:43:04,6.5,0.62
194,2020-05-02 13:43:06,10.167,0.672
195,2020-05-02 13:43:28,11.0,0.825
196,2020-05-02 13:43:32,1.0,0.587
197,2020-05-02 13:43:34,4.333,0.645
198,2020-05-02 13:44:38,14.6,0.895
199,2020-05-02 13:44:40,5.75,0.743
200,2020-05-02 13:45:52,7.778,0.846
201,2020-05-02 13:45:54,11.667,0.904
202,2020-05-02 13:45:56,11.0,0.904
203,2020-05-02 13:45:58,10.0,0.706
204,2020-05-02 13:46:38,9.5,0.625
205,2020-05-02 13:46:40,10.5,0.768
206,2020-05-02 13:46:44,1.0,0.538
207,2020-05-02 13:46:46,6.333,0.593
208,2020-05-02 13:46:54,12.222,0.768
209,2020-05-02 13:46:56,12.667,0.698
210,2020-05-02 13:46:58,12.0,0.863
211,2020-05-02 13:47:00,11.0,0.691
212,2020-05-02 13:47:02,12.556,0.662
213,2020-05-02 13:47:04,9.0,0.777
214,2020-05-02 13:47:06,11.0,0.684
215,2020-05-02 13:47:08,10.0,0.697
216,2020-05-02 13:47:10,9.0,0.76
217,2020-05-02 13:47:12,5.5,0.799
218,2020-05-02 13:47:14,11.5,0.618
219,2020-05-02 13:47:16,10.5,1.079
220,2020-05-02 13:47:18,10.0,0.754
221,2020-05-02 13:47:20,10.0,0.653
222,2020-05-02 13:47:22,15.714,0.868
223,2020-05-02 13:47:24,1.0,0.515
224,2020-05-02 13:47:26,1.5,1.465
225,2020-05-02 13:49:48,10.778,0.729
226,2020-05-02 13:49:50,10.5,0.664
227,2020-05-02 13:49:52,11.5,0.69
228,2020-05-02 13:49:54,6.0,0.606
229,2020-05-02 13:49:56,10.5,0.533
230,2020-05-02 13:50:40,17.8,0.973
231,2020-05-02 13:50:42,13.167,0.845
232,2020-05-02 13:50:44,7.0,0.64
233,2020-05-02 13:50:50,14.529,0.759
234,2020-05-02 13:50:52,8.4,0.734
235,2020-05-02 13:50:54,7.4,0.937
236,2020-05-02 13:51:12,1.0,0.541
237,2020-05-02 13:51:26,1.0,0.568
238,2020-05-02 13:51:28,6.75,0.582
239,2020-05-02 13:51:30,12.0,0.837
240,2020-05-02 13:51:32,1.0,0.519
241,2020-05-02 13:51:34,10.2,0.624
242,2020-05-02 13:51:36,11.0,0.731
243,2020-05-02 13:51:46,4.667,0.558
244,2020-05-02 13:51:48,15.8,0.732
245,2020-05-02 13:51:50,14.667,0.716
246,2020-05-02 13:51:52,8.4,0.6
247,2020-05-02 13:51:54,10.2,0.616
248,2020-05-02 13:51:56,12.5,0.828
249,2020-05-02 13:51:58,9.0,0.763
250,2020-05-02 13:52:06,8.571,0.618
251,2020-05-02 13:52:08,10.833,0.598
252,2020-05-02 13:52:10,9.333,0.604
253,2020-05-02 13:52:12,14.5,0.662
254,2020-05-02 13:52:14,9.0,0.661
255,2020-05-02 13:52:16,7.0,0.531
256,2020-05-02 13:52:18,11.0,0.673
257,2020-05-02 13:52:20,15.5,0.663
258,2020-05-02 13:52:26,1.0,0.869
259,2020-05-02 13:52:28,10.0,0.749
260,2020-05-02 13:52:30,11.571,0.916
261,2020-05-02 13:52:38,13.667,0.633
262,2020-05-02 13:52:42,13.0,0.879
263,2020-05-02 13:52:44,19.1,0.869
264,2020-05-02 13:52:46,12.667,0.817
265,2020-05-02 13:52:48,8.071,0.978
266,2020-05-02 13:52:50,6.5,0.796
267,2020-05-02 13:52:52,13.75,0.919
268,2020-05-02 13:52:54,1.5,0.579
269,2020-05-02 13:52:56,4.667,0.681
270,2020-05-02 13:53:34,14.714,0.848
271,2020-05-02 13:53:36,1.5,1.155
272,2020-05-02 13:53:46,1.5,0.84
273,2020-05-02 13:53:54,2.0,0.843
274,2020-05-02 13:53:56,8.0,1.028
275,2020-05-02 13:54:00,8.125,0.776
276,2020-05-02 13:54:02,2.0,0.516
277,2020-05-02 13:54:20,16.667,1.027
278,2020-05-02 13:54:22,1.0,0.548
279,2020-05-02 13:54:24,11.4,0.754
280,2020-05-02 13:54:40,6.625,1.151
281,2020-05-02 13:55:14,9.714,0.845
282,2020-05-02 13:55:28,1.0,0.767
283,2020-05-02 13:55:58,1.0,2.381
284,2020-05-02 13:56:00,1.5,0.804
285,2020-05-02 13:56:08,11.5,0.53
286,2020-05-02 13:56:16,1.0,0.603
287,2020-05-02 13:56:34,15.333,0.714
288,2020-05-02 13:56:36,8.667,0.536
289,2020-05-02 13:56:38,7.0,0.548
290,2020-05-02 13:56:40,8.143,0.91
291,2020-05-02 13:57:36,13.5,1.211
292,2020-05-02 13:57:38,1.0,0.509
293,2020-05-02 13:58:00,12.909,0.819
294,2020-05-02 13:58:02,12.0,0.759
295,2020-05-02 13:58:04,11.0,0.64
296,2020-05-02 13:58:06,14.8,0.985
297,2020-05-02 13:59:06,1.5,0.741
298,2020-05-02 13:59:08,7.2,0.957
299,2020-05-02 14:00:04,9.1,0.977
300,2020-05-02 14:00:14,13.2,0.782
301,2020-05-02 14:00:16,11.909,0.623
302,2020-05-02 14:00:18,7.6,0.862
303,2020-05-02 14:00:20,7.6,0.709
304,2020-05-02 14:00:22,8.2,0.911
305,2020-05-02 14:00:24,6.0,0.785
306,2020-05-02 14:00:26,7.833,0.907
