Time,Datetime,Frequency,Magnitude
0,2020-05-02 12:48:30,15.444,0.894
1,2020-05-02 12:48:32,16.333,0.861
2,2020-05-02 12:48:36,28.0,0.501
3,2020-05-02 12:48:38,14.611,0.827
4,2020-05-02 12:48:40,16.25,0.874
5,2020-05-02 12:49:06,1.0,0.539
6,2020-05-02 12:49:12,16.933,0.682
7,2020-05-02 12:49:14,12.5,0.67
8,2020-05-02 12:49:16,12.357,0.772
9,2020-05-02 12:49:44,17.125,0.79
10,2020-05-02 12:49:46,11.286,0.668
11,2020-05-02 12:50:20,24.5,0.576
12,2020-05-02 12:50:56,15.833,0.86
13,2020-05-02 12:50:58,14.125,0.667
14,2020-05-02 12:51:36,14.467,0.749
15,2020-05-02 12:51:38,12.0,0.558
16,2020-05-02 12:52:02,13.818,0.731
17,2020-05-02 12:52:30,14.6,0.901
18,2020-05-02 12:53:22,1.0,0.613
19,2020-05-02 12:53:44,26.0,0.598
20,2020-05-02 12:53:52,14.0,1.024
21,2020-05-02 12:53:58,11.0,0.552
22,2020-05-02 12:55:14,12.5,0.539
23,2020-05-02 12:55:16,14.333,0.629
24,2020-05-02 12:57:12,15.429,0.755
25,2020-05-02 12:57:24,1.0,0.51
26,2020-05-02 12:57:26,1.0,0.544
27,2020-05-02 12:57:28,1.0,0.616
28,2020-05-02 12:57:32,1.0,0.826
29,2020-05-02 12:57:34,4.333,0.617
30,2020-05-02 12:57:36,8.333,0.64
31,2020-05-02 12:57:38,8.5,0.712
32,2020-05-02 12:57:40,1.0,0.6
33,2020-05-02 12:57:42,8.0,0.552
34,2020-05-02 12:57:50,6.5,0.537
35,2020-05-02 12:57:52,10.2,0.729
36,2020-05-02 12:57:54,1.0,0.554
37,2020-05-02 12:57:56,8.667,0.585
38,2020-05-02 12:58:02,10.429,0.636
39,2020-05-02 12:58:04,12.5,0.628
40,2020-05-02 12:58:06,8.667,0.752
41,2020-05-02 12:58:08,1.0,0.513
42,2020-05-02 12:58:10,12.0,0.639
43,2020-05-02 12:58:12,14.5,0.962
44,2020-05-02 12:58:14,6.5,0.528
45,2020-05-02 12:58:22,10.0,0.708
46,2020-05-02 12:58:24,10.0,0.702
47,2020-05-02 12:58:26,13.8,1.185
48,2020-05-02 12:58:28,15.333,0.987
49,2020-05-02 12:58:30,15.0,0.626
50,2020-05-02 12:58:34,15.0,0.874
51,2020-05-02 12:58:36,16.5,0.942
52,2020-05-02 12:58:38,18.667,0.595
53,2020-05-02 12:58:42,1.0,0.715
54,2020-05-02 12:58:44,25.5,0.562
55,2020-05-02 12:59:34,21.5,0.695
56,2020-05-02 12:59:38,21.25,0.775
57,2020-05-02 12:59:44,17.5,0.621
58,2020-05-02 12:59:58,21.5,0.821
59,2020-05-02 13:00:08,22.6,0.659
60,2020-05-02 13:00:30,24.0,0.588
61,2020-05-02 13:00:38,24.0,0.558
62,2020-05-02 13:00:58,18.0,0.551
63,2020-05-02 13:01:16,18.75,0.591
64,2020-05-02 13:01:32,15.6,0.599
65,2020-05-02 13:01:46,19.167,0.946
66,2020-05-02 13:02:10,18.5,0.589
67,2020-05-02 13:05:02,1.0,0.555
68,2020-05-02 13:05:10,14.0,0.608
69,2020-05-02 13:06:20,1.0,0.595
70,2020-05-02 13:06:24,16.0,0.784
71,2020-05-02 13:06:26,16.25,0.778
72,2020-05-02 13:07:30,17.333,0.708
73,2020-05-02 13:08:28,1.0,0.677
74,2020-05-02 13:08:50,14.5,0.785
75,2020-05-02 13:08:52,13.5,0.98
76,2020-05-02 13:09:20,12.0,0.808
77,2020-05-02 13:11:32,10.5,0.524
78,2020-05-02 13:11:50,14.0,0.59
79,2020-05-02 13:13:48,1.0,0.515
80,2020-05-02 13:14:34,18.429,1.07
81,2020-05-02 13:14:36,14.0,1.082
82,2020-05-02 13:14:38,14.8,0.617
83,2020-05-02 13:15:20,16.143,1.436
84,2020-05-02 13:15:22,11.0,0.511
85,2020-05-02 13:15:28,15.0,0.876
86,2020-05-02 13:15:52,15.0,1.169
87,2020-05-02 13:15:54,18.333,0.67
88,2020-05-02 13:15:56,23.0,0.567
89,2020-05-02 13:15:58,14.333,0.549
90,2020-05-02 13:16:24,14.0,0.545
91,2020-05-02 13:17:10,6.0,0.528
92,2020-05-02 13:18:04,12.5,0.73
93,2020-05-02 13:20:58,14.0,1.141
94,2020-05-02 13:21:00,13.667,0.701
95,2020-05-02 13:22:12,13.0,0.93
96,2020-05-02 13:23:36,17.667,0.635
97,2020-05-02 13:26:52,15.5,0.843
98,2020-05-02 13:26:54,14.0,0.615
99,2020-05-02 13:27:16,12.5,0.667
100,2020-05-02 13:31:28,20.5,0.531
101,2020-05-02 13:32:34,15.7,1.03
102,2020-05-02 13:32:36,13.0,0.855
103,2020-05-02 13:35:22,10.75,0.628
104,2020-05-02 13:35:24,13.25,0.71
105,2020-05-02 13:41:12,15.5,1.537
106,2020-05-02 13:41:14,14.833,0.86
107,2020-05-02 13:41:16,16.0,0.54
108,2020-05-02 13:41:24,11.5,0.757
109,2020-05-02 13:41:26,15.2,0.952
110,2020-05-02 13:41:42,17.0,0.521
111,2020-05-02 13:41:44,12.0,0.745
112,2020-05-02 13:43:00,15.0,0.885
113,2020-05-02 13:43:02,13.857,1.158
114,2020-05-02 13:43:06,18.0,0.604
115,2020-05-02 13:43:28,12.0,0.537
116,2020-05-02 13:44:38,13.2,1.447
117,2020-05-02 13:44:40,9.5,0.645
118,2020-05-02 13:45:48,1.0,0.52
119,2020-05-02 13:45:52,15.857,1.45
120,2020-05-02 13:45:54,11.0,0.631
121,2020-05-02 13:45:56,22.5,0.529
122,2020-05-02 13:45:58,21.0,0.51
123,2020-05-02 13:46:38,12.5,0.656
124,2020-05-02 13:46:46,9.0,0.643
125,2020-05-02 13:46:54,10.5,1.015
126,2020-05-02 13:46:56,14.571,0.629
127,2020-05-02 13:46:58,15.667,0.639
128,2020-05-02 13:47:00,18.667,0.575
129,2020-05-02 13:47:02,10.0,0.504
130,2020-05-02 13:47:06,24.0,0.532
131,2020-05-02 13:47:22,10.75,1.077
132,2020-05-02 13:49:48,13.857,0.891
133,2020-05-02 13:50:40,11.5,1.24
134,2020-05-02 13:50:42,14.0,0.927
135,2020-05-02 13:50:50,14.077,0.934
136,2020-05-02 13:50:52,12.778,0.677
137,2020-05-02 13:50:54,11.167,0.73
138,2020-05-02 13:51:24,1.0,0.644
139,2020-05-02 13:51:26,10.0,0.586
140,2020-05-02 13:51:28,8.333,0.573
141,2020-05-02 13:51:30,7.0,0.592
142,2020-05-02 13:51:32,1.0,0.755
143,2020-05-02 13:51:34,8.333,0.688
144,2020-05-02 13:51:36,11.5,0.564
145,2020-05-02 13:51:40,1.0,0.515
146,2020-05-02 13:51:46,11.286,0.634
147,2020-05-02 13:51:48,13.0,0.758
148,2020-05-02 13:51:50,13.8,0.866
149,2020-05-02 13:51:52,13.4,0.563
150,2020-05-02 13:51:54,8.857,0.694
151,2020-05-02 13:51:56,11.0,0.807
152,2020-05-02 13:51:58,16.0,0.7
153,2020-05-02 13:52:06,11.75,0.653
154,2020-05-02 13:52:08,11.286,0.732
155,2020-05-02 13:52:10,7.6,0.633
156,2020-05-02 13:52:12,13.333,0.787
157,2020-05-02 13:52:14,12.75,0.643
158,2020-05-02 13:52:16,10.0,0.575
