Time,Datetime,Frequency,Magnitude
138,2020-05-05 06:25:36,15.167,0.769
139,2020-05-05 06:27:28,17.75,1.607
140,2020-05-05 06:27:30,16.4,0.681
141,2020-05-05 06:27:34,17.25,0.952
142,2020-05-05 06:27:40,13.667,1.092
143,2020-05-05 06:27:42,16.667,0.914
144,2020-05-05 06:27:46,15.125,0.675
145,2020-05-05 06:28:50,14.818,0.91
146,2020-05-05 06:28:52,11.0,0.509
147,2020-05-05 06:28:54,15.75,0.81
148,2020-05-05 06:28:56,13.0,0.524
149,2020-05-05 06:29:04,17.25,1.096
150,2020-05-05 06:29:08,17.0,0.671
151,2020-05-05 06:29:26,15.8,1.217
152,2020-05-05 06:29:30,14.286,0.72
153,2020-05-05 06:29:54,9.667,0.588
154,2020-05-05 06:29:56,10.0,0.65
155,2020-05-05 06:30:06,10.0,0.516
156,2020-05-05 06:30:24,19.4,1.094
157,2020-05-05 06:30:26,12.5,0.605
158,2020-05-05 06:30:30,14.333,0.731
159,2020-05-05 06:32:10,16.0,0.606
160,2020-05-05 06:32:52,15.0,1.388
161,2020-05-05 06:32:54,13.5,1.154
162,2020-05-05 06:32:58,15.556,0.801
163,2020-05-05 06:33:10,14.0,0.779
164,2020-05-05 06:33:12,16.667,1.245
165,2020-05-05 06:33:16,13.667,0.793
166,2020-05-05 06:34:16,16.0,1.231
167,2020-05-05 06:34:18,10.0,0.513
168,2020-05-05 06:34:22,12.667,0.865
169,2020-05-05 06:34:40,11.833,0.74
170,2020-05-05 06:34:42,17.0,1.06
171,2020-05-05 06:34:46,11.0,0.587
172,2020-05-05 06:35:04,4.0,0.514
173,2020-05-05 06:35:14,11.5,0.637
174,2020-05-05 06:35:44,17.4,1.299
175,2020-05-05 06:35:46,13.0,0.87
176,2020-05-05 06:35:50,15.571,0.861
177,2020-05-05 06:35:56,19.0,1.069
178,2020-05-05 06:36:00,15.429,0.897
179,2020-05-05 06:36:18,12.667,0.782
180,2020-05-05 06:36:20,17.0,1.447
181,2020-05-05 06:36:24,14.0,0.911
182,2020-05-05 06:36:38,19.0,1.09
183,2020-05-05 06:36:40,12.0,0.557
184,2020-05-05 06:36:44,16.6,0.981
185,2020-05-05 06:37:20,13.9,0.983
186,2020-05-05 06:37:22,11.0,0.583
187,2020-05-05 06:37:26,11.0,0.749
188,2020-05-05 06:37:36,16.2,0.904
189,2020-05-05 06:37:40,16.5,0.651
190,2020-05-05 06:37:42,12.0,0.766
191,2020-05-05 06:38:10,13.429,1.278
192,2020-05-05 06:38:14,15.75,0.789
193,2020-05-05 06:38:20,13.667,0.887
194,2020-05-05 06:38:26,15.5,0.796
195,2020-05-05 06:39:06,2.0,0.514
196,2020-05-05 06:39:10,2.0,0.687
197,2020-05-05 06:40:04,13.0,0.85
198,2020-05-05 06:40:08,1.0,0.505
199,2020-05-05 06:40:20,13.667,1.669
200,2020-05-05 06:40:22,14.0,1.074
201,2020-05-05 06:40:26,17.5,0.78
202,2020-05-05 06:40:30,14.333,1.165
203,2020-05-05 06:40:32,13.0,0.63
204,2020-05-05 06:40:36,8.5,0.513
205,2020-05-05 06:40:44,12.0,0.868
206,2020-05-05 06:40:46,15.0,0.776
207,2020-05-05 06:41:24,16.444,0.861
208,2020-05-05 06:41:36,11.5,0.649
209,2020-05-05 06:42:10,16.143,1.236
210,2020-05-05 06:42:12,18.333,0.61
211,2020-05-05 06:42:16,15.75,0.796
212,2020-05-05 06:42:32,18.571,1.181
213,2020-05-05 06:42:38,16.375,0.862
214,2020-05-05 06:43:12,14.5,1.008
215,2020-05-05 06:43:14,16.5,0.599
216,2020-05-05 06:43:16,15.167,0.894
217,2020-05-05 06:43:20,14.0,1.154
218,2020-05-05 06:43:22,18.143,0.842
219,2020-05-05 06:43:28,15.2,0.779
220,2020-05-05 06:44:12,14.0,1.102
221,2020-05-05 06:44:16,16.286,0.663
222,2020-05-05 06:44:20,16.333,0.977
223,2020-05-05 06:44:28,14.5,0.819
224,2020-05-05 06:44:30,17.625,0.821
225,2020-05-05 06:44:32,14.0,0.52
226,2020-05-05 06:44:36,13.143,0.754
227,2020-05-05 06:45:20,15.444,1.169
228,2020-05-05 06:45:22,21.0,0.656
229,2020-05-05 06:45:24,19.0,0.564
230,2020-05-05 06:45:26,15.25,0.81
231,2020-05-05 06:45:38,19.667,1.234
232,2020-05-05 06:45:44,15.2,0.67
233,2020-05-05 06:45:52,12.5,0.649
234,2020-05-05 06:45:58,15.0,0.804
235,2020-05-05 06:48:22,16.625,0.975
236,2020-05-05 06:48:26,15.143,0.789
237,2020-05-05 06:48:40,15.375,1.059
238,2020-05-05 06:48:44,18.0,0.975
239,2020-05-05 06:49:22,15.4,0.904
240,2020-05-05 06:49:26,15.25,0.656
241,2020-05-05 06:50:02,17.833,1.154
242,2020-05-05 06:50:04,11.0,0.539
243,2020-05-05 06:50:06,14.0,0.741
244,2020-05-05 06:50:34,17.25,1.095
245,2020-05-05 06:50:38,10.5,0.56
246,2020-05-05 06:50:40,14.5,0.6
247,2020-05-05 06:50:42,13.2,0.895
248,2020-05-05 06:51:36,11.6,1.217
249,2020-05-05 06:51:38,13.333,1.108
250,2020-05-05 06:51:42,10.2,0.757
251,2020-05-05 06:51:48,17.176,0.896
252,2020-05-05 06:51:50,17.625,0.785
253,2020-05-05 06:51:54,13.5,0.527
254,2020-05-05 06:51:56,16.25,0.957
255,2020-05-05 06:52:36,16.2,1.248
256,2020-05-05 06:52:40,14.0,0.74
257,2020-05-05 06:52:46,20.75,1.385
258,2020-05-05 06:52:50,17.0,0.785
259,2020-05-05 06:53:18,14.5,1.237
260,2020-05-05 06:53:20,12.5,0.537
261,2020-05-05 06:53:22,15.0,0.692
262,2020-05-05 06:53:24,15.45,0.804
263,2020-05-05 06:53:30,12.615,0.949
264,2020-05-05 06:53:34,14.0,0.589
265,2020-05-05 06:53:38,1.5,0.588
266,2020-05-05 06:53:54,10.5,0.605
267,2020-05-05 06:54:06,13.5,0.598
268,2020-05-05 06:54:14,12.9,1.114
269,2020-05-05 06:54:16,14.0,0.663
270,2020-05-05 06:54:20,15.167,0.823
271,2020-05-05 06:54:24,13.1,0.969
272,2020-05-05 06:54:30,12.5,0.67
273,2020-05-05 06:54:50,14.2,1.339
274,2020-05-05 06:54:52,10.0,0.636
275,2020-05-05 06:54:56,14.333,0.831
276,2020-05-05 06:55:00,14.5,0.977
277,2020-05-05 06:55:02,17.0,0.917
278,2020-05-05 06:55:06,13.143,0.647
279,2020-05-05 06:56:18,10.667,0.63
280,2020-05-05 06:56:20,15.938,0.722
281,2020-05-05 06:56:34,14.667,0.642
282,2020-05-05 06:56:48,4.0,0.576
283,2020-05-05 06:57:08,19.0,1.588
284,2020-05-05 06:57:10,11.5,0.577
285,2020-05-05 06:57:14,14.286,0.832
286,2020-05-05 06:57:16,13.5,0.814
287,2020-05-05 06:57:18,16.286,1.056
288,2020-05-05 06:57:22,15.167,0.804
289,2020-05-05 06:58:00,14.286,1.213
290,2020-05-05 06:58:02,21.0,0.578
291,2020-05-05 06:58:04,16.6,0.808
292,2020-05-05 06:58:10,16.2,1.209
293,2020-05-05 06:58:14,12.0,0.824
294,2020-05-05 06:58:30,13.667,1.136
295,2020-05-05 06:58:32,10.0,0.61
296,2020-05-05 06:58:36,14.333,0.846
297,2020-05-05 06:58:40,13.4,0.889
298,2020-05-05 06:58:46,12.571,0.876
299,2020-05-05 06:59:22,14.0,0.787
300,2020-05-05 06:59:24,14.5,1.1
301,2020-05-05 06:59:28,13.636,0.661
302,2020-05-05 06:59:36,16.0,0.941
303,2020-05-05 06:59:38,16.667,0.902
304,2020-05-05 06:59:42,13.0,0.797
305,2020-05-05 07:00:02,13.0,1.441
306,2020-05-05 07:00:06,17.5,0.795
307,2020-05-05 07:00:10,11.833,0.885
308,2020-05-05 07:00:12,17.667,1.248
309,2020-05-05 07:00:16,13.167,0.643
310,2020-05-05 07:00:28,14.5,1.015
311,2020-05-05 07:00:30,14.167,1.043
312,2020-05-05 07:00:34,11.8,0.881
313,2020-05-05 07:00:38,13.0,0.878
314,2020-05-05 07:00:44,2.0,0.519
315,2020-05-05 07:01:14,14.5,1.017
316,2020-05-05 07:01:16,15.0,1.27
317,2020-05-05 07:01:20,14.286,0.738
318,2020-05-05 07:01:24,14.714,0.946
319,2020-05-05 07:01:30,16.5,0.604
320,2020-05-05 07:01:48,14.5,1.272
321,2020-05-05 07:01:50,13.5,1.197
322,2020-05-05 07:01:54,12.2,0.754
323,2020-05-05 07:02:08,14.0,2.499
324,2020-05-05 07:02:12,17.0,0.619
325,2020-05-05 07:03:10,12.556,1.226
326,2020-05-05 07:03:12,21.0,0.535
327,2020-05-05 07:03:14,12.5,0.728
328,2020-05-05 07:03:16,14.0,0.708
329,2020-05-05 07:03:22,14.0,1.287
330,2020-05-05 07:03:24,16.0,0.707
331,2020-05-05 07:03:30,14.25,0.834
332,2020-05-05 07:04:06,15.25,0.926
333,2020-05-05 07:04:08,15.333,0.576
334,2020-05-05 07:04:12,15.364,0.794
335,2020-05-05 07:04:24,13.5,0.582
336,2020-05-05 07:04:26,15.8,1.104
337,2020-05-05 07:04:30,17.0,0.673
338,2020-05-05 07:04:46,10.8,1.284
339,2020-05-05 07:04:48,16.2,1.132
340,2020-05-05 07:04:52,16.333,0.801
341,2020-05-05 07:05:06,15.8,1.18
342,2020-05-05 07:05:12,13.75,0.701
343,2020-05-05 07:05:30,19.0,1.683
344,2020-05-05 07:05:32,15.333,0.62
345,2020-05-05 07:05:36,18.0,0.836
346,2020-05-05 07:05:58,17.25,1.189
347,2020-05-05 07:06:02,20.5,0.595
348,2020-05-05 07:06:20,14.1,1.087
349,2020-05-05 07:06:24,16.0,0.653
350,2020-05-05 07:06:26,14.571,0.864
351,2020-05-05 07:06:30,17.5,0.874
352,2020-05-05 07:06:36,16.0,0.619
353,2020-05-05 07:07:22,12.556,1.176
354,2020-05-05 07:07:26,14.286,0.795
355,2020-05-05 07:07:28,12.0,0.653
356,2020-05-05 07:07:30,18.0,1.321
357,2020-05-05 07:07:32,19.0,0.697
358,2020-05-05 07:07:36,14.5,0.681
359,2020-05-05 07:08:18,14.778,0.822
360,2020-05-05 07:08:20,11.0,0.507
361,2020-05-05 07:08:22,12.6,0.861
362,2020-05-05 07:08:30,20.0,1.048
363,2020-05-05 07:08:32,18.333,0.639
364,2020-05-05 07:08:34,11.0,0.631
365,2020-05-05 07:08:36,18.0,0.587
366,2020-05-05 07:09:20,4.0,0.516
367,2020-05-05 07:09:22,16.0,1.265
368,2020-05-05 07:09:26,15.375,0.832
369,2020-05-05 07:09:30,16.5,1.277
370,2020-05-05 07:09:32,18.5,0.778
371,2020-05-05 07:09:34,21.0,0.521
372,2020-05-05 07:09:36,17.571,0.539
373,2020-05-05 07:09:56,11.5,0.587
374,2020-05-05 07:10:26,13.25,1.493
375,2020-05-05 07:10:30,12.5,0.74
376,2020-05-05 07:10:34,14.556,0.979
377,2020-05-05 07:10:36,21.0,0.557
378,2020-05-05 07:10:38,16.714,0.905
379,2020-05-05 07:10:40,14.0,0.795
380,2020-05-05 07:11:44,13.9,1.013
381,2020-05-05 07:11:46,16.333,0.658
382,2020-05-05 07:11:48,16.571,0.643
383,2020-05-05 07:11:52,16.25,1.083
384,2020-05-05 07:11:54,16.5,0.651
385,2020-05-05 07:11:56,14.5,0.577
386,2020-05-05 07:12:36,14.2,1.195
387,2020-05-05 07:12:38,11.5,0.57
388,2020-05-05 07:12:40,14.2,0.903
389,2020-05-05 07:13:00,15.364,0.878
390,2020-05-05 07:13:28,14.5,1.277
391,2020-05-05 07:13:30,14.0,1.322
392,2020-05-05 07:13:32,13.667,0.664
393,2020-05-05 07:13:36,14.25,0.97
394,2020-05-05 07:13:40,9.4,0.669
395,2020-05-05 07:14:54,14.222,0.972
396,2020-05-05 07:14:56,11.0,0.663
397,2020-05-05 07:14:58,14.111,0.734
398,2020-05-05 07:15:02,14.6,0.853
399,2020-05-05 07:15:06,11.5,0.643
400,2020-05-05 07:15:54,14.5,1.19
401,2020-05-05 07:15:56,14.0,1.311
402,2020-05-05 07:15:58,14.0,0.745
403,2020-05-05 07:16:04,17.4,1.189
404,2020-05-05 07:16:06,12.5,0.685
405,2020-05-05 07:16:38,14.8,1.158
406,2020-05-05 07:16:40,12.5,0.94
407,2020-05-05 07:16:42,14.0,0.922
408,2020-05-05 07:16:48,15.6,0.859
409,2020-05-05 07:16:52,7.0,0.554
410,2020-05-05 07:17:14,13.625,1.16
411,2020-05-05 07:17:16,17.444,0.844
412,2020-05-05 07:17:18,14.667,0.693
413,2020-05-05 07:17:20,13.5,0.846
414,2020-05-05 07:17:24,15.5,0.77
415,2020-05-05 07:17:28,7.5,0.547
416,2020-05-05 07:18:00,14.5,1.262
417,2020-05-05 07:18:02,13.0,1.063
418,2020-05-05 07:18:04,18.0,0.776
419,2020-05-05 07:18:12,10.75,1.068
420,2020-05-05 07:18:14,16.667,0.737
421,2020-05-05 07:18:16,9.25,0.667
422,2020-05-05 07:18:28,17.0,0.508
423,2020-05-05 07:18:32,14.714,1.207
424,2020-05-05 07:18:34,16.667,1.045
425,2020-05-05 07:18:44,15.75,0.975
426,2020-05-05 07:18:46,1.0,0.523
427,2020-05-05 07:19:00,17.5,1.176
428,2020-05-05 07:19:02,17.8,0.889
429,2020-05-05 07:19:06,21.0,0.621
430,2020-05-05 07:19:08,16.5,0.79
431,2020-05-05 07:19:26,2.0,0.567
432,2020-05-05 07:19:28,13.091,1.18
433,2020-05-05 07:19:30,15.8,0.74
434,2020-05-05 07:19:34,15.25,0.824
435,2020-05-05 07:19:44,13.5,1.509
436,2020-05-05 07:19:46,18.0,1.075
437,2020-05-05 07:19:48,21.0,0.642
438,2020-05-05 07:19:50,16.286,0.684
439,2020-05-05 07:19:52,12.5,0.67
440,2020-05-05 07:19:54,16.2,1.018
441,2020-05-05 07:19:56,5.0,0.549
442,2020-05-05 07:20:22,1.0,0.538
443,2020-05-05 07:20:26,15.667,1.621
444,2020-05-05 07:20:28,21.0,0.559
445,2020-05-05 07:20:32,14.125,0.765
446,2020-05-05 07:20:36,21.0,1.326
447,2020-05-05 07:20:38,12.0,0.569
448,2020-05-05 07:20:42,13.8,0.66
449,2020-05-05 07:20:58,16.714,0.855
450,2020-05-05 07:21:04,16.167,0.727
451,2020-05-05 07:23:12,12.5,0.522
452,2020-05-05 07:23:14,15.5,1.346
453,2020-05-05 07:23:16,22.0,0.548
454,2020-05-05 07:23:18,14.2,0.883
455,2020-05-05 07:23:24,18.167,1.122
456,2020-05-05 07:23:26,12.0,0.507
457,2020-05-05 07:23:30,17.3,0.778
458,2020-05-05 07:24:04,17.667,1.373
459,2020-05-05 07:24:06,15.333,0.755
460,2020-05-05 07:24:10,10.5,0.621
461,2020-05-05 07:25:36,16.0,1.115
462,2020-05-05 07:25:38,17.0,0.594
463,2020-05-05 07:25:44,18.571,0.799
464,2020-05-05 07:26:02,17.833,1.141
465,2020-05-05 07:26:04,21.0,0.559
466,2020-05-05 07:26:10,16.0,0.692
467,2020-05-05 07:26:12,16.0,0.518
468,2020-05-05 07:26:14,16.0,0.975
469,2020-05-05 07:26:16,11.333,0.696
470,2020-05-05 07:27:02,15.0,0.641
471,2020-05-05 07:27:04,15.6,1.22
472,2020-05-05 07:27:06,23.0,0.517
473,2020-05-05 07:27:12,11.0,0.781
474,2020-05-05 07:27:30,17.25,0.954
475,2020-05-05 07:27:32,17.25,0.891
476,2020-05-05 07:27:34,18.0,0.794
477,2020-05-05 07:27:36,21.0,0.5
478,2020-05-05 07:27:42,13.667,0.676
479,2020-05-05 07:28:18,14.0,1.14
480,2020-05-05 07:28:20,19.667,0.694
481,2020-05-05 07:28:26,14.333,0.77
482,2020-05-05 07:28:54,15.8,1.24
483,2020-05-05 07:29:00,1.0,0.528
484,2020-05-05 07:29:58,22.5,0.672
485,2020-05-05 07:30:10,21.0,0.541
486,2020-05-05 07:30:24,13.444,0.84
487,2020-05-05 07:30:48,13.6,0.882
488,2020-05-05 07:30:50,12.5,0.759
489,2020-05-05 07:30:52,14.556,0.786
490,2020-05-05 07:30:58,15.111,0.892
491,2020-05-05 07:31:00,12.0,0.71
492,2020-05-05 07:31:04,17.0,0.8
493,2020-05-05 07:31:06,13.833,1.716
494,2020-05-05 07:31:08,10.0,0.684
495,2020-05-05 07:31:12,13.833,0.825
496,2020-05-05 07:31:22,11.833,1.022
497,2020-05-05 07:31:24,18.0,0.803
498,2020-05-05 07:31:26,15.5,1.147
499,2020-05-05 07:32:22,14.0,1.034
500,2020-05-05 07:32:24,13.0,1.131
501,2020-05-05 07:32:26,16.6,0.934
502,2020-05-05 07:32:36,14.5,0.914
503,2020-05-05 07:32:38,14.0,0.709
504,2020-05-05 07:33:30,14.0,1.158
